Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
Braveheart;1995;74;8.3;tt0112573;movie;Braveheart;Braveheart;0.0;1995.0;178;Biography,Drama,History
Toy Story;1995;75;8.3;tt0114709;movie;Toy Story;Toy Story;0.0;1995.0;81;Adventure,Animation,Comedy
Coco;2017;76;8.3;tt2380307;movie;Coco;Coco;0.0;2017.0;105;Adventure,Animation,Comedy
Inglourious Basterds;2009;77;8.3;tt0361748;movie;Inglourious Basterds;Inglourious Basterds;0.0;2009.0;153;Adventure,Drama,War
The Boat;1981;78;8.3;tt0082096;movie;The Boat;Das Boot;0.0;1981.0;149;Drama,War
Princess Mononoke;1997;79;8.3;tt0119698;movie;Princess Mononoke;Mononoke-hime;0.0;1997.0;134;Adventure,Animation,Fantasy
Avengers: Endgame;2019;80;8.3;tt4154796;movie;Avengers: Endgame;Avengers: Endgame;0.0;2019.0;181;Action,Adventure,Drama
Once Upon a Time in America;1984;81;8.3;tt0087843;movie;Once Upon a Time in America;Once Upon a Time in America;0.0;1984.0;229;Crime,Drama
Good Will Hunting;1997;82;8.3;tt0119217;movie;Good Will Hunting;Good Will Hunting;0.0;1997.0;126;Drama,Romance
Your Name.;2016;83;8.3;tt5311514;movie;Your Name.;Kimi no na wa.;0.0;2016.0;106;Animation,Drama,Fantasy
Requiem for a Dream;2000;84;8.3;tt0180093;movie;Requiem for a Dream;Requiem for a Dream;0.0;2000.0;102;Drama
Toy Story 3;2010;85;8.3;tt0435761;movie;Toy Story 3;Toy Story 3;0.0;2010.0;103;Adventure,Animation,Comedy
Singin' in the Rain;1952;86;8.3;tt0045152;movie;Singin' in the Rain;Singin' in the Rain;0.0;1952.0;103;Comedy,Musical,Romance
3 Idiots;2009;87;8.3;tt1187043;movie;3 Idiots;3 Idiots;0.0;2009.0;170;Comedy,Drama
Star Wars: Episode VI - Return of the Jedi;1983;88;8.3;tt0086190;movie;Star Wars: Episode VI - Return of the Jedi;Star Wars: Episode VI - Return of the Jedi;0.0;1983.0;131;Action,Adventure,Fantasy
High and Low;1963;89;8.3;tt0057565;movie;High and Low;Tengoku to jigoku;0.0;1963.0;143;Crime,Drama,Mystery
2001: A Space Odyssey;1968;90;8.3;tt0062622;movie;2001: A Space Odyssey;2001: A Space Odyssey;0.0;1968.0;149;Adventure,Sci-Fi
Eternal Sunshine of the Spotless Mind;2004;91;8.3;tt0338013;movie;Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;0.0;2004.0;108;Drama,Romance,Sci-Fi
Reservoir Dogs;1992;92;8.3;tt0105236;movie;Reservoir Dogs;Reservoir Dogs;0.0;1992.0;99;Crime,Drama,Thriller
Capernaum;2018;93;8.3;tt8267604;movie;Capernaum;Capharnaüm;0.0;2018.0;126;Drama
Lawrence of Arabia;1962;94;8.3;tt0056172;movie;Lawrence of Arabia;Lawrence of Arabia;0.0;1962.0;218;Adventure,Biography,Drama
Citizen Kane;1941;95;8.3;tt0033467;movie;Citizen Kane;Citizen Kane;0.0;1941.0;119;Drama,Mystery
The Hunt;2012;96;8.3;tt2106476;movie;The Hunt;Jagten;0.0;2012.0;115;Drama
M;1931;97;8.3;tt0022100;movie;M;M - Eine Stadt sucht einen Mörder;0.0;1931.0;117;Crime,Mystery,Thriller
North by Northwest;1959;98;8.3;tt0053125;movie;North by Northwest;North by Northwest;0.0;1959.0;136;Action,Adventure,Mystery
Come and See;1985;99;8.2;tt0091251;movie;Come and See;Idi i smotri;0.0;1985.0;142;Drama,Thriller,War
Vertigo;1958;100;8.2;tt0052357;movie;Vertigo;Vertigo;0.0;1958.0;128;Mystery,Romance,Thriller
Amélie;2001;101;8.2;tt0211915;movie;Amélie;Le fabuleux destin d'Amélie Poulain;0.0;2001.0;122;Comedy,Romance
A Clockwork Orange;1971;102;8.2;tt0066921;movie;A Clockwork Orange;A Clockwork Orange;0.0;1971.0;136;Crime,Sci-Fi
Double Indemnity;1944;103;8.2;tt0036775;movie;Double Indemnity;Double Indemnity;0.0;1944.0;107;Crime,Drama,Film-Noir
Full Metal Jacket;1987;104;8.2;tt0093058;movie;Full Metal Jacket;Full Metal Jacket;0.0;1987.0;116;Drama,War
The Apartment;1960;105;8.2;tt0053604;movie;The Apartment;The Apartment;0.0;1960.0;125;Comedy,Drama,Romance
Scarface;1983;106;8.2;tt0086250;movie;Scarface;Scarface;0.0;1983.0;170;Crime,Drama
Ikiru;1952;107;8.2;tt0044741;movie;Ikiru;Ikiru;0.0;1952.0;143;Drama
The Sting;1973;108;8.2;tt0070735;movie;The Sting;The Sting;0.0;1973.0;129;Comedy,Crime,Drama
To Kill a Mockingbird;1962;109;8.2;tt0056592;movie;To Kill a Mockingbird;To Kill a Mockingbird;0.0;1962.0;129;Crime,Drama
Taxi Driver;1976;110;8.2;tt0075314;movie;Taxi Driver;Taxi Driver;0.0;1976.0;114;Crime,Drama
Heat;1995;111;8.2;tt0113277;movie;Heat;Heat;0.0;1995.0;170;Action,Crime,Drama
Up;2009;112;8.2;tt1049413;movie;Up;Up;0.0;2009.0;96;Adventure,Animation,Comedy
L.A. Confidential;1997;113;8.2;tt0119488;movie;L.A. Confidential;L.A. Confidential;0.0;1997.0;138;Crime,Drama,Mystery
Metropolis;1927;114;8.2;tt0017136;movie;Metropolis;Metropolis;0.0;1927.0;153;Drama,Sci-Fi
Incendies;2010;115;8.2;tt1255953;movie;Incendies;Incendies;0.0;2010.0;131;Drama,Mystery
A Separation;2011;116;8.2;tt1832382;movie;A Separation;Jodaeiye Nader az Simin;0.0;2011.0;123;Drama
Die Hard;1988;117;8.2;tt0095016;movie;Die Hard;Die Hard;0.0;1988.0;132;Action,Thriller
Snatch;2000;118;8.2;tt0208092;movie;Snatch;Snatch;0.0;2000.0;104;Comedy,Crime
Indiana Jones and the Last Crusade;1989;119;8.2;tt0097576;movie;Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade;0.0;1989.0;127;Action,Adventure
Bicycle Thieves;1948;120;8.2;tt0040522;movie;Bicycle Thieves;Ladri di biciclette;0.0;1948.0;89;Drama
Hamilton;2020;121;8.2;tt8503618;movie;Hamilton;Hamilton;0.0;2020.0;160;Biography,Drama,History
1917;2019;122;8.2;tt8579674;movie;1917;1917;0.0;2019.0;119;Action,Drama,War
Like Stars on Earth;2007;123;8.2;tt0986264;movie;Like Stars on Earth;Taare Zameen Par;0.0;2007.0;165;Drama,Family
Downfall;2004;124;8.2;tt0363163;movie;Downfall;Der Untergang;0.0;2004.0;156;Biography,Drama,History
For a Few Dollars More;1965;125;8.2;tt0059578;movie;For a Few Dollars More;Per qualche dollaro in più;0.0;1965.0;132;Western
Batman Begins;2005;126;8.2;tt0372784;movie;Batman Begins;Batman Begins;0.0;2005.0;140;Action,Crime,Drama
Dangal;2016;127;8.2;tt5074352;movie;Dangal;Dangal;0.0;2016.0;161;Action,Biography,Drama
The Kid;1921;128;8.2;tt0012349;movie;The Kid;The Kid;0.0;1921.0;68;Comedy,Drama,Family
Some Like It Hot;1959;129;8.2;tt0053291;movie;Some Like It Hot;Some Like It Hot;0.0;1959.0;121;Comedy,Music,Romance
All About Eve;1950;130;8.2;tt0042192;movie;All About Eve;All About Eve;0.0;1950.0;138;Drama
The Father;2020;131;8.2;tt10272386;movie;The Father;The Father;0.0;2020.0;97;Drama,Mystery
Green Book;2018;132;8.2;tt6966692;movie;Green Book;Green Book;0.0;2018.0;130;Biography,Comedy,Drama
The Wolf of Wall Street;2013;133;8.2;tt0993846;movie;The Wolf of Wall Street;The Wolf of Wall Street;0.0;2013.0;180;Biography,Comedy,Crime
Spider-Man: No Way Home;2021;134;8.2;tt10872600;movie;Spider-Man: No Way Home;Spider-Man: No Way Home;0.0;2021.0;148;Action,Adventure,Fantasy
Judgment at Nuremberg;1961;135;8.2;tt0055031;movie;Judgment at Nuremberg;Judgment at Nuremberg;0.0;1961.0;179;Drama,War
Ran;1985;136;8.2;tt0089881;movie;Ran;Ran;0.0;1985.0;162;Action,Drama,War
Casino;1995;137;8.2;tt0112641;movie;Casino;Casino;0.0;1995.0;178;Crime,Drama
Unforgiven;1992;138;8.2;tt0105695;movie;Unforgiven;Unforgiven;0.0;1992.0;130;Drama,Western
Pan's Labyrinth;2006;139;8.2;tt0457430;movie;Pan's Labyrinth;El laberinto del fauno;0.0;2006.0;118;Drama,Fantasy,War
There Will Be Blood;2007;140;8.2;tt0469494;movie;There Will Be Blood;There Will Be Blood;0.0;2007.0;158;Drama
The Truman Show;1998;141;8.2;tt0120382;movie;The Truman Show;The Truman Show;0.0;1998.0;103;Comedy,Drama
The Sixth Sense;1999;142;8.2;tt0167404;movie;The Sixth Sense;The Sixth Sense;0.0;1999.0;107;Drama,Mystery,Thriller
A Beautiful Mind;2001;143;8.2;tt0268978;movie;A Beautiful Mind;A Beautiful Mind;0.0;2001.0;135;Biography,Drama
